Filename,Actual_Class,Predicted_Class,Class_Name,Confidence (%)
00000_00000.ppm,20,20,Curva Perigosa à Direita,43.05
00000_00001.ppm,20,20,Curva Perigosa à Direita,39.66
00000_00002.ppm,20,20,Curva Perigosa à Direita,20.77
00000_00003.ppm,20,20,Curva Perigosa à Direita,64.76
00000_00004.ppm,20,10,Proibido Ultrapassar Veículos acima de 3.5t,42.62
00000_00005.ppm,20,20,Curva Perigosa à Direita,62.27
00000_00006.ppm,20,10,Proibido Ultrapassar Veículos acima de 3.5t,72.23
00000_00007.ppm,20,10,Proibido Ultrapassar Veículos acima de 3.5t,46.99
00000_00008.ppm,20,20,Curva Perigosa à Direita,47.81
00000_00009.ppm,20,10,Proibido Ultrapassar Veículos acima de 3.5t,58.60
00000_00010.ppm,20,20,Curva Perigosa à Direita,86.07
00000_00011.ppm,20,20,Curva Perigosa à Direita,91.52
00000_00012.ppm,20,20,Curva Perigosa à Direita,81.46
00000_00013.ppm,20,20,Curva Perigosa à Direita,79.53
00000_00014.ppm,20,20,Curva Perigosa à Direita,88.00
00000_00015.ppm,20,20,Curva Perigosa à Direita,92.46
00000_00016.ppm,20,20,Curva Perigosa à Direita,69.39
00000_00017.ppm,20,20,Curva Perigosa à Direita,80.61
00000_00018.ppm,20,20,Curva Perigosa à Direita,81.36
00000_00019.ppm,20,20,Curva Perigosa à Direita,91.55
00000_00020.ppm,20,20,Curva Perigosa à Direita,86.64
00000_00021.ppm,20,20,Curva Perigosa à Direita,88.18
00000_00022.ppm,20,20,Curva Perigosa à Direita,89.07
00000_00023.ppm,20,20,Curva Perigosa à Direita,76.16
00000_00024.ppm,20,20,Curva Perigosa à Direita,98.09
00000_00025.ppm,20,20,Curva Perigosa à Direita,98.80
00000_00026.ppm,20,20,Curva Perigosa à Direita,96.90
00000_00027.ppm,20,20,Curva Perigosa à Direita,90.28
00000_00028.ppm,20,20,Curva Perigosa à Direita,81.71
00000_00029.ppm,20,23,Pista Escorregadia,67.92
00001_00000.ppm,20,20,Curva Perigosa à Direita,87.91
00001_00001.ppm,20,20,Curva Perigosa à Direita,95.05
00001_00002.ppm,20,20,Curva Perigosa à Direita,98.47
00001_00003.ppm,20,20,Curva Perigosa à Direita,99.43
00001_00004.ppm,20,20,Curva Perigosa à Direita,99.50
00001_00005.ppm,20,20,Curva Perigosa à Direita,99.08
00001_00006.ppm,20,20,Curva Perigosa à Direita,96.99
00001_00007.ppm,20,20,Curva Perigosa à Direita,99.56
00001_00008.ppm,20,20,Curva Perigosa à Direita,99.25
00001_00009.ppm,20,20,Curva Perigosa à Direita,98.58
00001_00010.ppm,20,20,Curva Perigosa à Direita,97.41
00001_00011.ppm,20,20,Curva Perigosa à Direita,99.22
00001_00012.ppm,20,20,Curva Perigosa à Direita,98.27
00001_00013.ppm,20,20,Curva Perigosa à Direita,90.65
00001_00014.ppm,20,20,Curva Perigosa à Direita,97.66
00001_00015.ppm,20,20,Curva Perigosa à Direita,98.18
00001_00016.ppm,20,20,Curva Perigosa à Direita,99.21
00001_00017.ppm,20,20,Curva Perigosa à Direita,98.31
00001_00018.ppm,20,20,Curva Perigosa à Direita,99.38
00001_00019.ppm,20,20,Curva Perigosa à Direita,97.09
00001_00020.ppm,20,20,Curva Perigosa à Direita,89.44
00001_00021.ppm,20,20,Curva Perigosa à Direita,99.46
00001_00022.ppm,20,20,Curva Perigosa à Direita,99.72
00001_00023.ppm,20,20,Curva Perigosa à Direita,99.19
00001_00024.ppm,20,20,Curva Perigosa à Direita,99.76
00001_00025.ppm,20,20,Curva Perigosa à Direita,99.04
00001_00026.ppm,20,20,Curva Perigosa à Direita,99.70
00001_00027.ppm,20,20,Curva Perigosa à Direita,99.69
00001_00028.ppm,20,20,Curva Perigosa à Direita,99.71
00001_00029.ppm,20,20,Curva Perigosa à Direita,99.92
00002_00000.ppm,20,20,Curva Perigosa à Direita,86.95
00002_00001.ppm,20,20,Curva Perigosa à Direita,99.97
00002_00002.ppm,20,20,Curva Perigosa à Direita,99.99
00002_00003.ppm,20,20,Curva Perigosa à Direita,99.46
00002_00004.ppm,20,20,Curva Perigosa à Direita,99.96
00002_00005.ppm,20,20,Curva Perigosa à Direita,99.98
00002_00006.ppm,20,20,Curva Perigosa à Direita,99.98
00002_00007.ppm,20,20,Curva Perigosa à Direita,99.99
00002_00008.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00009.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00010.ppm,20,20,Curva Perigosa à Direita,99.99
00002_00011.ppm,20,20,Curva Perigosa à Direita,99.99
00002_00012.ppm,20,20,Curva Perigosa à Direita,99.99
00002_00013.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00014.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00015.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00016.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00017.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00018.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00019.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00020.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00021.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00022.ppm,20,20,Curva Perigosa à Direita,99.97
00002_00023.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00024.ppm,20,20,Curva Perigosa à Direita,99.98
00002_00025.ppm,20,20,Curva Perigosa à Direita,99.92
00002_00026.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00027.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00028.ppm,20,20,Curva Perigosa à Direita,100.00
00002_00029.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00000.ppm,20,20,Curva Perigosa à Direita,99.93
00003_00001.ppm,20,20,Curva Perigosa à Direita,99.81
00003_00002.ppm,20,20,Curva Perigosa à Direita,98.95
00003_00003.ppm,20,20,Curva Perigosa à Direita,99.95
00003_00004.ppm,20,20,Curva Perigosa à Direita,99.89
00003_00005.ppm,20,20,Curva Perigosa à Direita,99.89
00003_00006.ppm,20,20,Curva Perigosa à Direita,99.98
00003_00007.ppm,20,20,Curva Perigosa à Direita,99.94
00003_00008.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00009.ppm,20,20,Curva Perigosa à Direita,99.98
00003_00010.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00011.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00012.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00013.ppm,20,20,Curva Perigosa à Direita,99.99
00003_00014.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00015.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00016.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00017.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00018.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00019.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00020.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00021.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00022.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00023.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00024.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00025.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00026.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00027.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00028.ppm,20,20,Curva Perigosa à Direita,100.00
00003_00029.ppm,20,20,Curva Perigosa à Direita,100.00
00004_00000.ppm,20,20,Curva Perigosa à Direita,95.77
00004_00001.ppm,20,20,Curva Perigosa à Direita,97.20
00004_00002.ppm,20,20,Curva Perigosa à Direita,89.42
00004_00003.ppm,20,20,Curva Perigosa à Direita,73.67
00004_00004.ppm,20,20,Curva Perigosa à Direita,77.63
00004_00005.ppm,20,20,Curva Perigosa à Direita,96.36
