Filename,Actual_Class,Predicted_Class,Class_Name,Confidence (%)
00000_00000.ppm,3,3,Limite de Velocidade (60km/h),97.12
00000_00001.ppm,3,3,Limite de Velocidade (60km/h),97.68
00000_00002.ppm,3,3,Limite de Velocidade (60km/h),98.30
00000_00003.ppm,3,3,Limite de Velocidade (60km/h),99.80
00000_00004.ppm,3,3,Limite de Velocidade (60km/h),99.92
00000_00005.ppm,3,3,Limite de Velocidade (60km/h),98.59
00000_00006.ppm,3,3,Limite de Velocidade (60km/h),95.83
00000_00007.ppm,3,3,Limite de Velocidade (60km/h),98.66
00000_00008.ppm,3,3,Limite de Velocidade (60km/h),99.96
00000_00009.ppm,3,3,Limite de Velocidade (60km/h),99.88
00000_00010.ppm,3,3,Limite de Velocidade (60km/h),99.96
00000_00011.ppm,3,3,Limite de Velocidade (60km/h),99.90
00000_00012.ppm,3,3,Limite de Velocidade (60km/h),99.99
00000_00013.ppm,3,3,Limite de Velocidade (60km/h),99.99
00000_00014.ppm,3,3,Limite de Velocidade (60km/h),99.96
00000_00015.ppm,3,3,Limite de Velocidade (60km/h),99.98
00000_00016.ppm,3,3,Limite de Velocidade (60km/h),99.99
00000_00017.ppm,3,3,Limite de Velocidade (60km/h),99.68
00000_00018.ppm,3,3,Limite de Velocidade (60km/h),99.98
00000_00019.ppm,3,3,Limite de Velocidade (60km/h),99.95
00000_00020.ppm,3,3,Limite de Velocidade (60km/h),64.01
00000_00021.ppm,3,3,Limite de Velocidade (60km/h),99.97
00000_00022.ppm,3,3,Limite de Velocidade (60km/h),99.91
00000_00023.ppm,3,3,Limite de Velocidade (60km/h),99.90
00000_00024.ppm,3,3,Limite de Velocidade (60km/h),99.91
00000_00025.ppm,3,3,Limite de Velocidade (60km/h),99.94
00000_00026.ppm,3,3,Limite de Velocidade (60km/h),99.84
00000_00027.ppm,3,3,Limite de Velocidade (60km/h),99.80
00000_00028.ppm,3,3,Limite de Velocidade (60km/h),99.93
00000_00029.ppm,3,3,Limite de Velocidade (60km/h),99.88
00001_00000.ppm,3,3,Limite de Velocidade (60km/h),97.51
00001_00001.ppm,3,3,Limite de Velocidade (60km/h),73.56
00001_00002.ppm,3,3,Limite de Velocidade (60km/h),99.99
00001_00003.ppm,3,3,Limite de Velocidade (60km/h),43.26
00001_00004.ppm,3,3,Limite de Velocidade (60km/h),100.00
00001_00005.ppm,3,3,Limite de Velocidade (60km/h),99.99
00001_00006.ppm,3,3,Limite de Velocidade (60km/h),84.14
00001_00007.ppm,3,3,Limite de Velocidade (60km/h),92.56
00001_00008.ppm,3,5,Limite de Velocidade (80km/h),74.94
00001_00009.ppm,3,5,Limite de Velocidade (80km/h),40.53
00001_00010.ppm,3,3,Limite de Velocidade (60km/h),99.99
00001_00011.ppm,3,3,Limite de Velocidade (60km/h),100.00
00001_00012.ppm,3,3,Limite de Velocidade (60km/h),99.93
00001_00013.ppm,3,7,Limite de Velocidade (100km/h),89.71
00001_00014.ppm,3,3,Limite de Velocidade (60km/h),63.11
00001_00015.ppm,3,3,Limite de Velocidade (60km/h),95.63
00001_00016.ppm,3,3,Limite de Velocidade (60km/h),95.78
00001_00017.ppm,3,35,Siga em Frente,89.81
00001_00018.ppm,3,11,Interseção com Prioridade,24.25
00001_00019.ppm,3,3,Limite de Velocidade (60km/h),72.78
00001_00020.ppm,3,3,Limite de Velocidade (60km/h),64.49
00001_00021.ppm,3,5,Limite de Velocidade (80km/h),65.68
00001_00022.ppm,3,3,Limite de Velocidade (60km/h),99.90
00001_00023.ppm,3,3,Limite de Velocidade (60km/h),99.98
00001_00024.ppm,3,3,Limite de Velocidade (60km/h),78.03
00001_00025.ppm,3,3,Limite de Velocidade (60km/h),99.75
00001_00026.ppm,3,3,Limite de Velocidade (60km/h),95.13
00001_00027.ppm,3,3,Limite de Velocidade (60km/h),99.45
00001_00028.ppm,3,3,Limite de Velocidade (60km/h),76.28
00001_00029.ppm,3,3,Limite de Velocidade (60km/h),51.35
00002_00000.ppm,3,5,Limite de Velocidade (80km/h),81.12
00002_00001.ppm,3,10,Proibido Ultrapassar Veículos acima de 3.5t,81.89
00002_00002.ppm,3,3,Limite de Velocidade (60km/h),91.94
00002_00003.ppm,3,10,Proibido Ultrapassar Veículos acima de 3.5t,98.54
00002_00004.ppm,3,3,Limite de Velocidade (60km/h),54.98
00002_00005.ppm,3,3,Limite de Velocidade (60km/h),99.11
00002_00006.ppm,3,42,Fim da Proibição de Ultrapassar Caminhões,81.58
00002_00007.ppm,3,3,Limite de Velocidade (60km/h),97.55
00002_00008.ppm,3,10,Proibido Ultrapassar Veículos acima de 3.5t,81.86
00002_00009.ppm,3,3,Limite de Velocidade (60km/h),69.22
00002_00010.ppm,3,12,Estrada Principal,90.40
00002_00011.ppm,3,41,Fim da Proibição de Ultrapassar,50.94
00002_00012.ppm,3,12,Estrada Principal,32.66
00002_00013.ppm,3,11,Interseção com Prioridade,67.79
00002_00014.ppm,3,10,Proibido Ultrapassar Veículos acima de 3.5t,80.45
00002_00015.ppm,3,12,Estrada Principal,50.36
00002_00016.ppm,3,11,Interseção com Prioridade,64.62
00002_00017.ppm,3,3,Limite de Velocidade (60km/h),99.97
00002_00018.ppm,3,3,Limite de Velocidade (60km/h),99.94
00002_00019.ppm,3,3,Limite de Velocidade (60km/h),99.79
00002_00020.ppm,3,3,Limite de Velocidade (60km/h),99.78
00002_00021.ppm,3,3,Limite de Velocidade (60km/h),97.81
00002_00022.ppm,3,3,Limite de Velocidade (60km/h),98.92
00002_00023.ppm,3,3,Limite de Velocidade (60km/h),98.81
00002_00024.ppm,3,3,Limite de Velocidade (60km/h),95.10
00002_00025.ppm,3,42,Fim da Proibição de Ultrapassar Caminhões,30.76
00002_00026.ppm,3,3,Limite de Velocidade (60km/h),99.38
00002_00027.ppm,3,3,Limite de Velocidade (60km/h),98.99
00002_00028.ppm,3,3,Limite de Velocidade (60km/h),78.11
00002_00029.ppm,3,3,Limite de Velocidade (60km/h),76.50
00003_00000.ppm,3,3,Limite de Velocidade (60km/h),99.93
00003_00001.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00002.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00003.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00004.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00005.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00006.ppm,3,3,Limite de Velocidade (60km/h),99.19
00003_00007.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00008.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00009.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00010.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00011.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00012.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00013.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00014.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00015.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00016.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00017.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00018.ppm,3,3,Limite de Velocidade (60km/h),100.00
00003_00019.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00020.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00021.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00022.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00023.ppm,3,3,Limite de Velocidade (60km/h),99.99
00003_00024.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00025.ppm,3,3,Limite de Velocidade (60km/h),99.96
00003_00026.ppm,3,3,Limite de Velocidade (60km/h),99.88
00003_00027.ppm,3,3,Limite de Velocidade (60km/h),99.98
00003_00028.ppm,3,3,Limite de Velocidade (60km/h),99.84
00003_00029.ppm,3,3,Limite de Velocidade (60km/h),99.88
00004_00000.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00001.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00002.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00003.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00004.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00005.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00006.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00007.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00008.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00009.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00010.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00011.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00012.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00013.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00014.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00015.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00016.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00017.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00018.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00019.ppm,3,3,Limite de Velocidade (60km/h),100.00
00004_00020.ppm,3,3,Limite de Velocidade (60km/h),99.98
00004_00021.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00022.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00023.ppm,3,3,Limite de Velocidade (60km/h),99.99
00004_00024.ppm,3,3,Limite de Velocidade (60km/h),99.92
00004_00025.ppm,3,3,Limite de Velocidade (60km/h),99.93
00004_00026.ppm,3,3,Limite de Velocidade (60km/h),99.96
00004_00027.ppm,3,3,Limite de Velocidade (60km/h),99.92
